region_code,sa3_name,sa3_name_lower,gcc_name,state_name,end_year,individuals,total_income,median_taxable_income,average_taxable_income,avg_income_thousand,salary_share_pct,mean_price_thousand,mean_price_value,mean_price_thousand_value,price_to_income,price_to_income_rank_city,area_sq_km
10903,Upper Murray exc. Albury,upper murray exc. albury,Rest of NSW,New South Wales,2018,19295,915282847.0,42909.0,47436.0,47.436,71.5,874.925,874925.0,874.925,18.444324985243274,11,28231.6033
10402,Coffs Harbour,coffs harbour,Rest of NSW,New South Wales,2018,42472,2050240354.0,41506.0,48268.0,48.268,75.7,874.925,874925.0,874.925,18.126398442031988,12,3966.5637
10302,Lachlan Valley,lachlan valley,Rest of NSW,New South Wales,2018,24086,1162989816.0,42466.0,48287.0,48.287,72.3,874.925,874925.0,874.925,18.119266055045873,13,41000.7206
10401,Clarence Valley,clarence valley,Rest of NSW,New South Wales,2018,21233,1025568975.0,42064.0,48296.0,48.296,74.0,874.925,874925.0,874.925,18.1158895146596,14,9263.194
10103,Snowy Mountains,snowy mountains,Rest of NSW,New South Wales,2018,10294,503590827.0,42003.0,48911.0,48.911,74.9,874.925,874925.0,874.925,17.888102880742572,15,14284.5857
11001,Armidale,armidale,Rest of NSW,New South Wales,2018,17872,881157824.0,41799.0,49301.0,49.301,75.6,874.925,874925.0,874.925,17.746597432100767,16,16395.6494
11401,Shoalhaven,shoalhaven,Rest of NSW,New South Wales,2018,43039,2129988496.0,42717.0,49483.0,49.483,72.4,874.925,874925.0,874.925,17.68132489946042,17,4374.9473
11203,Tweed Valley,tweed valley,Rest of NSW,New South Wales,2018,41898,2107830137.0,42489.0,50311.0,50.311,72.4,874.925,874925.0,874.925,17.39033213412574,18,1307.7853
10804,Port Macquarie,port macquarie,Rest of NSW,New South Wales,2018,35407,1802249181.0,43635.0,50905.0,50.905,72.1,874.925,874925.0,874.925,17.187407916707592,19,3687.7694
10901,Albury,albury,Rest of NSW,New South Wales,2018,31689,1656075315.0,46960.0,52270.0,52.27,77.7,874.925,874925.0,874.925,16.738568968815763,20,5597.0037
10501,Bourke - Cobar - Coonamble,bourke - cobar - coonamble,Rest of NSW,New South Wales,2018,10656,557243622.0,44604.0,52274.0,52.274,77.2,874.925,874925.0,874.925,16.73728813559322,21,162762.4085
10503,Dubbo,dubbo,Rest of NSW,New South Wales,2018,34082,1786365434.0,47370.0,52418.0,52.418,79.0,874.925,874925.0,874.925,16.69130832919989,22,29738.3906
11003,Moree - Narrabri,moree - narrabri,Rest of NSW,New South Wales,2018,12581,661503204.0,47284.0,52571.0,52.571,77.7,874.925,874925.0,874.925,16.642730783131384,23,32022.7204
11302,Tumut - Tumbarumba,tumut - tumbarumba,Rest of NSW,New South Wales,2018,7010,371544530.0,45876.0,53010.0,53.01,77.2,874.925,874925.0,874.925,16.50490473495567,24,9174.7261
11303,Wagga Wagga,wagga wagga,Rest of NSW,New South Wales,2018,46494,2475591266.0,48173.0,53248.0,53.248,77.5,874.925,874925.0,874.925,16.431133563701923,25,18950.5656
11004,Tamworth - Gunnedah,tamworth - gunnedah,Rest of NSW,New South Wales,2018,40827,2195589418.0,47586.0,53781.0,53.781,79.9,874.925,874925.0,874.925,16.26829177590599,26,20155.0876
10105,Goulburn - Mulwaree,goulburn - mulwaree,Rest of NSW,New South Wales,2018,17720,966529946.0,48478.0,54557.0,54.557,78.7,874.925,874925.0,874.925,16.036897190094763,27,9099.9087
10603,Port Stephens,port stephens,Rest of NSW,New South Wales,2018,33417,1829584832.0,46757.0,54750.0,54.75,75.6,874.925,874925.0,874.925,15.980365296803653,28,1071.9768
10502,Broken Hill and Far West,broken hill and far west,Rest of NSW,New South Wales,2018,9342,513779654.0,47817.0,54973.0,54.973,84.2,874.925,874925.0,874.925,15.91554035617485,29,146854.847
10301,Bathurst,bathurst,Rest of NSW,New South Wales,2018,23341,1313069481.0,50233.0,56258.0,56.258,80.8,874.925,874925.0,874.925,15.55201038074585,30,6984.1829
10106,Young - Yass,young - yass,Rest of NSW,New South Wales,2018,17940,1019695781.0,48233.0,56855.0,56.855,73.6,874.925,874925.0,874.925,15.388708117140093,31,12135.8653
11102,Lake Macquarie - West,lake macquarie - west,Rest of NSW,New South Wales,2018,39077,2241036964.0,49766.0,57355.0,57.355,81.2,874.925,874925.0,874.925,15.254554964693575,32,507.6329
10701,Dapto - Port Kembla,dapto - port kembla,Rest of NSW,New South Wales,2018,37045,2158522660.0,50637.0,58271.0,58.271,83.8,874.925,874925.0,874.925,15.014758627790838,33,164.0176
10304,Orange,orange,Rest of NSW,New South Wales,2018,29771,1736807230.0,50590.0,58335.0,58.335,80.3,874.925,874925.0,874.925,14.998285763263906,34,6267.5322
10703,Kiama - Shellharbour,kiama - shellharbour,Rest of NSW,New South Wales,2018,46145,2758545950.0,51110.0,59780.0,59.78,80.5,874.925,874925.0,874.925,14.635747741719639,35,390.7982
11402,Southern Highlands,southern highlands,Rest of NSW,New South Wales,2018,23700,1422616955.0,46761.0,60031.0,60.031,69.6,874.925,874925.0,874.925,14.574553147540437,36,2330.0146
10303,Lithgow - Mudgee,lithgow - mudgee,Rest of NSW,New South Wales,2018,20734,1248648411.0,48450.0,60211.0,60.211,78.5,874.925,874925.0,874.925,14.530982710800352,37,16044.6243
11101,Lake Macquarie - East,lake macquarie - east,Rest of NSW,New South Wales,2018,62095,3812452640.0,52322.0,61395.0,61.395,79.9,874.925,874925.0,874.925,14.250753318674159,38,138.0853
11103,Newcastle,newcastle,Rest of NSW,New South Wales,2018,89945,5571256995.0,53028.0,61942.0,61.942,82.0,874.925,874925.0,874.925,14.124907171224693,39,224.8639
10601,Lower Hunter,lower hunter,Rest of NSW,New South Wales,2018,43970,2731220822.0,50696.0,62116.0,62.116,83.9,874.925,874925.0,874.925,14.085340330993624,40,8566.7812
10602,Maitland,maitland,Rest of NSW,New South Wales,2018,41198,2570793852.0,53505.0,62398.0,62.398,85.5,874.925,874925.0,874.925,14.021683387288054,41,380.1169
10704,Wollongong,wollongong,Rest of NSW,New South Wales,2018,67570,4324846672.0,53166.0,64005.0,64.005,80.0,874.925,874925.0,874.925,13.669635184751192,42,240.0824
10604,Upper Hunter,upper hunter,Rest of NSW,New South Wales,2018,15577,1005623625.0,52317.0,64579.0,64.579,84.0,874.925,874925.0,874.925,13.548134842595891,43,11472.4168
10102,Queanbeyan,queanbeyan,Rest of NSW,New South Wales,2018,35382,2509485816.0,64406.0,70921.0,70.921,82.3,874.925,874925.0,874.925,12.336613978934308,44,6511.3971
70102,Darwin Suburbs,darwin suburbs,Greater Darwin,Northern Territory,2018,33758,2322179105.0,61116.0,68779.0,68.779,87.3,438.7,438700.0,438.7,6.37840038383809,1,136.0284
70103,Litchfield,litchfield,Greater Darwin,Northern Territory,2018,12653,906138268.0,64379.0,71592.0,71.592,86.2,438.7,438700.0,438.7,6.1277796401832605,2,2938.5111
70104,Palmerston,palmerston,Greater Darwin,Northern Territory,2018,22915,1690880121.0,66413.0,73773.0,73.773,93.3,438.7,438700.0,438.7,5.946620037140959,3,52.5288
70101,Darwin City,darwin city,Greater Darwin,Northern Territory,2018,22594,1693783946.0,58336.0,74969.0,74.969,90.0,438.7,438700.0,438.7,5.851752057517107,4,40.6351
70203,Daly - Tiwi - West Arnhem,daly - tiwi - west arnhem,Rest of NT,Northern Territory,2018,4150,198914415.0,37190.0,47966.0,47.966,90.8,438.7,438700.0,438.7,9.146061793770588,1,112294.8533
70202,Barkly,barkly,Rest of NT,Northern Territory,2018,2195,113362436.0,46252.0,51646.0,51.646,94.6,438.7,438700.0,438.7,8.494365488130736,2,303211.1804
70205,Katherine,katherine,Rest of NT,Northern Territory,2018,8190,426211647.0,46119.0,52021.0,52.021,92.3,438.7,438700.0,438.7,8.43313277330309,3,326253.7608
70201,Alice Springs,alice springs,Rest of NT,Northern Territory,2018,22802,1271833451.0,49793.0,55782.0,55.782,92.6,438.7,438700.0,438.7,7.864544118174321,4,569600.4059
70204,East Arnhem,east arnhem,Rest of NT,Northern Territory,2018,4235,263953598.0,47943.0,62283.0,62.283,96.2,438.7,438700.0,438.7,7.043655572146492,5,33606.5893
31302,Caboolture,caboolture,Greater Brisbane,Queensland,2018,35381,1686411694.0,43396.0,47663.0,47.663,85.5,511.825,511825.0,511.825,10.738413444390828,1,314.7214
30306,Sunnybank,sunnybank,Greater Brisbane,Queensland,2018,26466,1288143542.0,40056.0,48683.0,48.683,77.2,511.825,511825.0,511.825,10.513423577018672,2,22.16
31101,Beaudesert,beaudesert,Greater Brisbane,Queensland,2018,6245,309245695.0,44911.0,49535.0,49.535,77.8,511.825,511825.0,511.825,10.3325931159786,3,1628.0297
31102,Beenleigh,beenleigh,Greater Brisbane,Queensland,2018,20648,1043293204.0,47500.0,50528.0,50.528,85.5,511.825,511825.0,511.825,10.129532140595314,4,60.1509
31103,Browns Plains,browns plains,Greater Brisbane,Queensland,2018,42546,2186644609.0,48520.0,51395.0,51.395,87.0,511.825,511825.0,511.825,9.958653565521939,5,169.579
31106,Springwood - Kingston,springwood - kingston,Greater Brisbane,Queensland,2018,37958,1977844910.0,47748.0,52109.0,52.109,83.9,511.825,511825.0,511.825,9.82219962002725,6,57.2426
31002,Ipswich Hinterland,ipswich hinterland,Greater Brisbane,Queensland,2018,29505,1549471846.0,47581.0,52512.0,52.512,80.1,511.825,511825.0,511.825,9.746819774527728,7,6135.8159
31001,Forest Lake - Oxley,forest lake - oxley,Greater Brisbane,Queensland,2018,35696,1884575193.0,48039.0,52794.0,52.794,85.6,511.825,511825.0,511.825,9.694756979959845,8,63.7138
31303,Caboolture Hinterland,caboolture hinterland,Greater Brisbane,Queensland,2018,5954,318136369.0,47563.0,53414.0,53.414,76.8,511.825,511825.0,511.825,9.582225633728985,9,3388.2853
31301,Bribie - Beachmere,bribie - beachmere,Greater Brisbane,Queensland,2018,13021,698117571.0,45182.0,53598.0,53.598,69.8,511.825,511825.0,511.825,9.549330198888018,10,255.4465
31403,Strathpine,strathpine,Greater Brisbane,Queensland,2018,20379,1113393780.0,50801.0,54624.0,54.624,86.2,511.825,511825.0,511.825,9.369965582893967,11,38.3965
30305,Rocklea - Acacia Ridge,rocklea - acacia ridge,Greater Brisbane,Queensland,2018,33367,1829560103.0,49039.0,54830.0,54.83,82.0,511.825,511825.0,511.825,9.334761991610431,12,85.2446
31304,Narangba - Burpengary,narangba - burpengary,Greater Brisbane,Queensland,2018,33111,1824432520.0,49494.0,55102.0,55.102,84.9,511.825,511825.0,511.825,9.288682806431709,13,172.4129
31004,Springfield - Redbank,springfield - redbank,Greater Brisbane,Queensland,2018,49104,2744802682.0,51621.0,55897.0,55.897,89.7,511.825,511825.0,511.825,9.156573698051774,14,103.5925
31105,Loganlea - Carbrook,loganlea - carbrook,Greater Brisbane,Queensland,2018,32239,1802782721.0,50596.0,55911.0,55.911,84.2,511.825,511825.0,511.825,9.15428091073313,15,88.7275
31003,Ipswich Inner,ipswich inner,Greater Brisbane,Queensland,2018,55000,3099865767.0,51729.0,56365.0,56.365,86.6,511.825,511825.0,511.825,9.08054643839262,16,378.0559
31305,Redcliffe,redcliffe,Greater Brisbane,Queensland,2018,28966,1648577975.0,49565.0,56910.0,56.91,78.9,511.825,511825.0,511.825,8.993586364435073,17,213.5896
30303,Mt Gravatt,mt gravatt,Greater Brisbane,Queensland,2018,40756,2369094396.0,49007.0,58136.0,58.136,78.8,511.825,511825.0,511.825,8.803925278656942,18,79.3867
31402,North Lakes,north lakes,Greater Brisbane,Queensland,2018,43344,2547931220.0,52442.0,58789.0,58.789,87.7,511.825,511825.0,511.825,8.706135501539404,19,66.3172
