region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
10901,Albury,SA3,2020-21,2021,33954,39,1964930179,52210,57870,78.7
10901,Albury,SA3,2021-22,2022,35550,39,2123655036,54001,59737,79.3
10902,Lower Murray,SA3,2017-18,2018,5931,40,262374228,38909,44230,73.2
10902,Lower Murray,SA3,2018-19,2019,6103,39,282376826,39973,46306,74.6
10902,Lower Murray,SA3,2019-20,2020,7498,36,334773946,34679,44648,78.7
10902,Lower Murray,SA3,2020-21,2021,7200,38,358596294,44755,49805,77.9
10902,Lower Murray,SA3,2021-22,2022,8064,37,410862815,46689,50950,79.8
10903,Upper Murray exc. Albury,SA3,2017-18,2018,19295,43,915282847,42909,47436,71.5
10903,Upper Murray exc. Albury,SA3,2018-19,2019,19418,43,950009918,44390,48932,72.0
10903,Upper Murray exc. Albury,SA3,2019-20,2020,19871,43,1001449560,45885,50398,72.6
10903,Upper Murray exc. Albury,SA3,2020-21,2021,20427,43,1071845967,47883,52472,72.8
10903,Upper Murray exc. Albury,SA3,2021-22,2022,21272,42,1147220053,48752,53931,73.2
11001,Armidale,SA3,2017-18,2018,17872,40,881157824,41799,49301,75.6
11001,Armidale,SA3,2018-19,2019,18015,39,920336615,43960,51087,76.1
11001,Armidale,SA3,2019-20,2020,17937,39,959590860,45935,53498,76.1
11001,Armidale,SA3,2020-21,2021,17889,39,1007969689,49523,56346,76.2
11001,Armidale,SA3,2021-22,2022,18395,39,1054382645,50103,57319,76.3
11002,Inverell - Tenterfield,SA3,2017-18,2018,15454,41,684859436,39968,44310,71.8
11002,Inverell - Tenterfield,SA3,2018-19,2019,15553,41,707735412,41054,45502,72.2
11002,Inverell - Tenterfield,SA3,2019-20,2020,15519,41,734511245,43132,47330,72.2
11002,Inverell - Tenterfield,SA3,2020-21,2021,15690,41,765993429,45008,48820,72.4
11002,Inverell - Tenterfield,SA3,2021-22,2022,16239,41,808669073,45178,49798,73.1
11003,Moree - Narrabri,SA3,2017-18,2018,12581,39,661503204,47284,52571,77.7
11003,Moree - Narrabri,SA3,2018-19,2019,12202,39,659548069,48685,54044,77.8
11003,Moree - Narrabri,SA3,2019-20,2020,11883,39,660723744,50126,55602,77.4
11003,Moree - Narrabri,SA3,2020-21,2021,12184,39,700576899,52058,57500,78.8
11003,Moree - Narrabri,SA3,2021-22,2022,12682,39,769799723,54755,60700,79.4
11004,Tamworth - Gunnedah,SA3,2017-18,2018,40827,39,2195589418,47586,53781,79.9
11004,Tamworth - Gunnedah,SA3,2018-19,2019,41433,39,2289818685,49318,55268,80.2
11004,Tamworth - Gunnedah,SA3,2019-20,2020,41083,39,2367532851,51644,57628,80.4
11004,Tamworth - Gunnedah,SA3,2020-21,2021,42115,39,2499256161,53401,59344,80.7
11004,Tamworth - Gunnedah,SA3,2021-22,2022,43822,39,2676447622,54822,61075,81.9
11101,Lake Macquarie - East,SA3,2017-18,2018,62095,41,3812452640,52322,61395,79.9
11101,Lake Macquarie - East,SA3,2018-19,2019,63421,41,4002352147,53948,63105,79.9
11101,Lake Macquarie - East,SA3,2019-20,2020,63656,41,4166447856,56262,65453,80.1
11101,Lake Macquarie - East,SA3,2020-21,2021,64640,40,4379513344,58743,67752,80.8
11101,Lake Macquarie - East,SA3,2021-22,2022,66483,40,4621887656,59660,69520,81.0
11102,Lake Macquarie - West,SA3,2017-18,2018,39077,41,2241036964,49766,57355,81.2
11102,Lake Macquarie - West,SA3,2018-19,2019,40050,40,2357890911,51328,58874,80.8
11102,Lake Macquarie - West,SA3,2019-20,2020,40683,40,2487555641,53152,61145,81.2
11102,Lake Macquarie - West,SA3,2020-21,2021,42025,40,2643415819,55263,62901,82.1
11102,Lake Macquarie - West,SA3,2021-22,2022,43805,40,2868382269,56058,65481,82.3
11103,Newcastle,SA3,2017-18,2018,89945,37,5571256995,53028,61942,82.0
11103,Newcastle,SA3,2018-19,2019,92364,37,5855356632,54436,63395,82.0
11103,Newcastle,SA3,2019-20,2020,94002,37,6150717045,55838,65432,82.1
11103,Newcastle,SA3,2020-21,2021,96281,37,6539793046,58673,67924,82.6
11103,Newcastle,SA3,2021-22,2022,99995,37,6962578518,59554,69629,83.0
11201,Richmond Valley - Coastal,SA3,2017-18,2018,40678,41,1905457272,37920,46848,68.2
11201,Richmond Valley - Coastal,SA3,2018-19,2019,41965,40,2003770329,38990,47745,67.9
11201,Richmond Valley - Coastal,SA3,2019-20,2020,42609,40,2118601687,39996,49722,67.9
11201,Richmond Valley - Coastal,SA3,2020-21,2021,43134,40,2345921104,43957,54387,68.4
11201,Richmond Valley - Coastal,SA3,2021-22,2022,44027,40,2456093136,43702,55786,68.5
11202,Richmond Valley - Hinterland,SA3,2017-18,2018,32259,42,1495169723,42566,46358,76.5
11202,Richmond Valley - Hinterland,SA3,2018-19,2019,32873,42,1586195187,44597,48254,76.9
11202,Richmond Valley - Hinterland,SA3,2019-20,2020,32694,42,1644324910,46241,50294,76.5
11202,Richmond Valley - Hinterland,SA3,2020-21,2021,33492,42,1724947609,47299,51503,77.3
11202,Richmond Valley - Hinterland,SA3,2021-22,2022,34356,42,1780933901,46995,51838,77.3
11203,Tweed Valley,SA3,2017-18,2018,41898,42,2107830137,42489,50311,72.4
11203,Tweed Valley,SA3,2018-19,2019,42778,42,2209848050,43889,51666,72.2
11203,Tweed Valley,SA3,2019-20,2020,43273,42,2289868448,44931,52917,72.3
11203,Tweed Valley,SA3,2020-21,2021,44255,42,2432921382,46673,54975,72.9
11203,Tweed Valley,SA3,2021-22,2022,45930,42,2594165938,46997,56481,73.5
11301,Griffith - Murrumbidgee (West),SA3,2017-18,2018,26979,37,1278559290,43535,47396,79.7
11301,Griffith - Murrumbidgee (West),SA3,2018-19,2019,27312,37,1342091572,45859,49146,80.3
11301,Griffith - Murrumbidgee (West),SA3,2019-20,2020,27753,37,1416227961,47470,51030,80.9
11301,Griffith - Murrumbidgee (West),SA3,2020-21,2021,27657,38,1495820091,50784,54085,80.2
11301,Griffith - Murrumbidgee (West),SA3,2021-22,2022,28706,38,1593968974,52149,55527,81.4
11302,Tumut - Tumbarumba,SA3,2017-18,2018,7010,42,371544530,45876,53010,77.2
11302,Tumut - Tumbarumba,SA3,2018-19,2019,7084,42,384879568,48229,54315,78.2
11302,Tumut - Tumbarumba,SA3,2019-20,2020,7130,42,402478733,49510,56449,77.9
11302,Tumut - Tumbarumba,SA3,2020-21,2021,7252,42,419282090,51077,57816,78.2
11302,Tumut - Tumbarumba,SA3,2021-22,2022,7458,41,443822784,51996,59510,78.3
11303,Wagga Wagga,SA3,2017-18,2018,46494,39,2475591266,48173,53248,77.5
11303,Wagga Wagga,SA3,2018-19,2019,47105,39,2587628603,50019,54931,77.8
